Fecha,Hora,Turno,Máquina,Número de Parte,Descripción,Carrito,QTY,Total_Prod_Parte
2026-03-13,11:56:35,DIA,maquina 01,5208JJ1024A,DUCT R/L,1,45,45
2026-03-13,11:56:40,DIA,maquina 01,5208JJ1024A,DUCT R/L,2,45,90
2026-03-13,12:59:16,DIA,maquina 04,MAL62524101,BARRIER INS C,1,45,45
2026-03-13,14:04:08,DIA,maquina 04,MAL62524101,BARRIER INS C,2,45,90
2026-03-13,14:06:17,DIA,maquina 04,MAL62524101,BARRIER INS C,3,45,135
2026-03-13,14:20:58,DIA,maquina 01,5208JJ1024A,DUCT R/L,3,45,135
2026-03-13,14:23:53,DIA,maquina 01,5208JJ1024A,DUCT R/L,4,45,180
2026-03-13,14:23:57,DIA,maquina 01,5208JJ1024A,DUCT R/L,5,45,225
2026-03-13,14:23:59,DIA,maquina 01,5208JJ1024A,DUCT R/L,6,45,270
2026-03-13,15:31:40,DIA,maquina 01,5208JJ1024A,DUCT R/L,7,45,315
2026-03-13,15:31:43,DIA,maquina 01,5208JJ1024A,DUCT R/L,8,45,360
2026-03-13,15:31:52,DIA,maquina 01,5208JJ1024A,DUCT R/L,9,45,405
2026-03-13,15:31:58,DIA,maquina 01,5208JJ1024A,DUCT R/L,10,45,450
2026-03-13,16:24:54,DIA,maquina 01,5208JJ1024A,DUCT R/L,11,45,495
2026-03-13,16:24:57,DIA,maquina 01,5208JJ1024A,DUCT R/L,12,45,540
2026-03-13,16:25:06,DIA,maquina 01,5208JJ1024A,DUCT R/L,13,45,585
2026-03-13,16:27:06,DIA,maquina 01,5208JJ1024A,DUCT R/L,14,45,630
2026-03-17,13:26:27,DIA,maquina 01,5208JJ1024A,DUCT R/L,1,45,45
2026-03-17,13:27:02,DIA,maquina 01,5208JJ1024A,DUCT R/L,2,45,90
2026-03-17,13:27:48,DIA,maquina 01,5208JJ1024A,DUCT R/L,3,45,135
2026-03-17,13:28:18,DIA,maquina 01,5208JJ1024A,DUCT R/L,4,45,180
2026-03-17,13:33:38,DIA,maquina 01,5208JJ1024A,DUCT R/L,5,45,225
2026-03-17,13:34:39,DIA,maquina 01,5208JJ1024A,DUCT R/L,6,45,270
2026-03-17,13:34:41,DIA,maquina 01,5208JJ1024A,DUCT R/L,7,45,315
2026-03-17,13:34:42,DIA,maquina 01,5208JJ1024A,DUCT R/L,8,45,360
2026-03-17,13:38:51,DIA,maquina 01,5208JJ1024A,DUCT R/L,9,45,405
2026-03-17,14:00:30,DIA,maquina 02,MCZ60014601,DUCT U/R,1,45,45
2026-03-17,14:00:42,DIA,maquina 01,5208JJ1024A,DUCT R/L,10,45,450
2026-03-17,14:02:03,DIA,maquina 01,5208JJ1024A,DUCT R/L,11,45,495
2026-03-17,14:02:33,DIA,maquina 02,MCZ60014601,DUCT U/R,2,45,90
2026-03-17,16:46:27,DIA,maquina 02,MCZ60014601,DUCT U/R,3,45,135
2026-03-19,11:06:07,DIA,maquina 01,5208JJ1024A,DUCT R/L,1,45,45
2026-03-19,11:06:16,DIA,maquina 01,5208JJ1024A,DUCT R/L,2,45,90
2026-03-19,11:06:18,DIA,maquina 01,5208JJ1024A,DUCT R/L,3,45,135
2026-03-19,11:06:19,DIA,maquina 01,5208JJ1024A,DUCT R/L,4,45,180
2026-03-23,14:20:36,DIA,maquina 01,5208JJ1024A,DUCT R/L,1,45,45
2026-03-23,14:20:43,DIA,maquina 01,5208JJ1024A,DUCT R/L,2,45,90
2026-03-23,14:20:55,DIA,maquina 01,5208JJ1024A,DUCT R/L,3,45,135
